Date,equity
2021-01-04,9992.220106744086
2021-01-05,10078.458345418063
2021-01-06,10029.71104000001
2021-01-07,10214.860019125761
2021-01-08,10302.455090349682
2021-01-11,10243.018077940162
2021-01-12,10260.80958412942
2021-01-13,10270.412687753245
2021-01-14,10365.538697189562
2021-01-15,10290.422907305538
2021-01-19,10470.318406806658
2021-01-20,10590.299072496184
2021-01-21,10585.33829877411
2021-01-22,10536.336991961613
2021-01-25,10593.526522588021
2021-01-26,10534.4277406451
2021-01-27,10161.911280072245
2021-01-28,10268.413039335983
2021-01-29,10113.249051934657
2021-02-01,10340.936423876181
2021-02-02,10495.945062794475
2021-02-03,10352.989791296297
2021-02-04,10451.799634190624
2021-02-05,10459.619889197418
2021-02-08,10605.919829536513
2021-02-09,10632.373411956802
2021-02-10,10634.309041002813
2021-02-11,10778.568952427391
2021-02-12,10879.466400076139
2021-02-16,10888.8446979144
2021-02-17,10795.606339447102
2021-02-18,10705.218918170665
2021-02-19,10753.976788884727
2021-02-22,10545.55597826344
2021-02-23,10493.75221801238
2021-02-24,10609.869107354643
2021-02-25,10247.410838135673
2021-02-26,10304.71510517117
2021-03-01,10527.118762286282
2021-03-02,10385.1932258183
2021-03-03,10130.901168464032
2021-03-04,9902.201092369236
2021-03-05,10074.078617571313
2021-03-08,9754.586903863019
2021-03-09,10106.957937013625
2021-03-10,10061.846484113976
2021-03-11,10284.164999096703
2021-03-12,10195.256337046749
2021-03-15,10322.003141959445
2021-03-16,10380.61245030408
2021-03-17,10435.008579053949
2021-03-18,10149.634683556407
2021-03-19,10232.087186123536
2021-03-22,10403.516245322557
2021-03-23,10321.072046427358
2021-03-24,10218.817951812305
2021-03-25,10189.443749400483
2021-03-26,10463.58845498537
2021-03-29,10405.375439783793
2021-03-30,10361.86762069656
2021-03-31,10514.826639072333
2021-04-01,10732.963117929141
2021-04-05,10897.942610370277
2021-04-06,10870.429569904492
2021-04-07,10861.184048564222
2021-04-08,10954.614171705061
2021-04-09,10973.89753173015
2021-04-12,10909.01478959546
2021-04-13,10967.110362473073
2021-04-14,10874.855118539055
2021-04-15,11019.451022806687
2021-04-16,11022.448962216513
2021-04-19,10897.341188743518
2021-04-20,10840.569837526564
2021-04-21,10943.694168928409
2021-04-22,10820.796416199857
2021-04-23,10943.479266683298
2021-04-26,11013.11754166579
2021-04-27,10938.856407245064
2021-04-28,10883.310235684447
2021-04-29,10932.762470380416
2021-04-30,10806.562338684727
2021-05-03,10811.756612328612
2021-05-04,10656.427688133706
2021-05-05,10657.591459198586
2021-05-06,10723.426260897286
2021-05-07,10794.996559786192
2021-05-10,10567.169398844384
2021-05-11,10570.97601824425
2021-05-12,10315.942358295877
2021-05-13,10443.64217833967
2021-05-14,10623.970148060695
2021-05-17,10578.532135101386
2021-05-18,10525.996843419964
2021-05-19,10576.119117315713
2021-05-20,10774.202421085858
2021-05-21,10720.49972521537
2021-05-24,10846.844111677405
2021-05-25,10872.829378515993
2021-05-26,10871.157471981822
2021-05-27,10854.236570271441
2021-05-28,10882.423561352669
2021-06-01,10848.095436831887
2021-06-02,10885.554790671215
2021-06-03,10793.520024242407
2021-06-04,10977.928011338818
2021-06-07,11077.667472904039
2021-06-08,11059.337289856185
2021-06-09,11081.01211509738
2021-06-10,11203.604206025328
2021-06-11,11188.892024542634
2021-06-14,11269.305543959043
2021-06-15,11190.515780150368
2021-06-16,11102.609865846858
2021-06-17,11165.538835661404
2021-06-18,11062.507638080095
2021-06-21,11130.31856916687
2021-06-22,11167.95698101958
2021-06-23,11153.780146433233
2021-06-24,11214.468344506618
2021-06-25,11222.391573398498
2021-06-28,11326.567259981039
2021-06-29,11366.036356688102
2021-06-30,11334.187455542811
2021-07-01,11312.08614800841
2021-07-02,11378.645580416924
2021-07-06,11370.55120757886
2021-07-07,11393.82427016853
2021-07-08,11336.316194967934
2021-07-09,11418.150598386066
2021-07-12,11439.984247966855
2021-07-13,11427.407673592714
2021-07-14,11448.896735189079
2021-07-15,11357.061264022434
2021-07-16,11248.999212432918
2021-07-19,11202.373264862968
2021-07-20,11320.898980552969
2021-07-21,11416.674452603504
2021-07-22,11462.768058638798
2021-07-23,11579.57539988993
2021-07-26,11557.595718571194
2021-07-27,11472.701905856642
2021-07-28,11538.874747513495
2021-07-29,11574.187152067976
2021-07-30,11593.00976072108
2021-08-02,11608.231349860403
2021-08-03,11679.728174745245
2021-08-04,11691.770254079163
2021-08-05,11750.391643156876
2021-08-06,11708.36550821745
2021-08-09,11692.079695733684
2021-08-10,11625.387002036166
2021-08-11,11638.308239092852
2021-08-12,11629.96070226825
2021-08-13,11699.212668963679
2021-08-16,11731.29499896581
2021-08-17,11640.942387490224
2021-08-18,11529.006108516482
2021-08-19,11607.81747568823
2021-08-20,11679.306979067027
2021-08-23,11796.261719471768
2021-08-24,11824.611205651534
2021-08-25,11832.276140554874
2021-08-26,11775.189097289966
2021-08-27,11917.413755998856
2021-08-30,11976.430118074046
2021-08-31,11937.480981528828
2021-09-01,11939.752517126795
2021-09-02,11943.49305255865
2021-09-03,11966.141200528731
2021-09-07,11916.557322496341
2021-09-08,11891.487893342251
2021-09-09,11869.58344357762
2021-09-10,11842.352608455449
2021-09-13,11853.022131446829
2021-09-14,11844.994346837306
2021-09-15,11903.12146697594
2021-09-16,11902.427080485964
2021-09-17,11781.495535608765
2021-09-20,11592.762244614225
2021-09-21,11595.510238968078
2021-09-22,11683.157344702751
2021-09-23,11773.192028720692
2021-09-24,11770.273812699292
2021-09-27,11682.334206071364
2021-09-28,11369.327783682385
2021-09-29,11326.63128215416
2021-09-30,11275.663435094926
2021-10-01,11316.034094886041
2021-10-04,11094.42522273286
2021-10-05,11198.130304654795
2021-10-06,11226.200512563528
2021-10-07,11298.63881627994
2021-10-08,11239.39060849942
2021-10-11,11177.016693399564
2021-10-12,11141.180608827077
2021-10-13,11217.84050517506
2021-10-14,11408.468455288468
2021-10-15,11422.218369929204
2021-10-18,11461.806587584684
2021-10-19,11558.250681911517
2021-10-20,11556.061196509148
2021-10-21,11606.436343417787
2021-10-22,11615.594521251964
2021-10-25,11669.936290002766
2021-10-26,11679.272496046291
2021-10-27,11605.476687442315
2021-10-28,11744.05097764485
2021-10-29,11779.126027045244
2021-11-01,11814.292390227083
2021-11-02,11885.620498662343
2021-11-03,11964.294173164753
2021-11-04,12115.438934949092
2021-11-05,12182.154387642193
2021-11-08,12154.18233560454
2021-11-09,12165.710385041535
2021-11-10,12000.557543779614
2021-11-11,12066.031146824225
2021-11-12,12183.320677294874
2021-11-15,12185.88833618188
2021-11-16,12264.180962617387
2021-11-17,12217.989799490146
2021-11-18,12227.832896127999
2021-11-19,12262.959762887365
2021-11-22,12097.498511948716
2021-11-23,12089.548375473227
2021-11-24,12090.079482493104
2021-11-26,11890.093777505075
2021-11-29,12115.28865611807
2021-11-30,11922.103279724275
2021-12-01,11861.61849642351
2021-12-02,11929.490182078056
2021-12-03,11864.599504772574
2021-12-06,11946.873605412917
2021-12-07,12259.27260775071
2021-12-08,12275.744243031326
2021-12-09,12163.365012755916
2021-12-10,12291.922507387475
2021-12-13,12212.038429627146
2021-12-14,12101.104375726018
2021-12-15,12339.387812277437
2021-12-16,12148.25057423273
2021-12-17,12103.899141316318
2021-12-20,12014.778747071838
2021-12-21,12222.932924922481
2021-12-22,12327.435225011597
2021-12-23,12392.148265311613
2021-12-27,12579.097603761758
2021-12-28,12531.517267887175
2021-12-29,12585.368783607373
2021-12-30,12524.467165848571
2021-12-31,12487.805186188072
2022-01-03,12505.119775947025
2022-01-04,12422.040275034715
2022-01-05,12161.711541809296
2022-01-06,12164.855177579353
2022-01-07,11998.48576069798
2022-01-10,11995.037783855762
2022-01-11,12178.921864416305
2022-01-12,12199.079481869696
2022-01-13,12026.671421323914
2022-01-14,12122.179107512913
2022-01-18,11782.385021821749
2022-01-19,11673.631051377606
2022-01-20,11537.605457061703
2022-01-21,11349.484834871037
2022-01-24,11423.933522323414
2022-01-25,11134.530988428372
2022-01-26,11101.843811372362
2022-01-27,11007.217339908782
2022-01-28,11244.455416702289
2022-01-31,11532.15495039537
2022-02-01,11576.341524843067
2022-02-02,11721.547178650717
2022-02-03,11379.5966767388
2022-02-04,11397.427010232139
2022-02-07,11373.485398308821
2022-02-08,11478.944911100449
2022-02-09,11725.17849086108
2022-02-10,11442.917369855742
2022-02-11,11167.28853627285
2022-02-14,11118.276840524908
2022-02-15,11355.068346373908
2022-02-16,11365.520727578218
2022-02-17,11115.0893553057
2022-02-18,11035.657541452334
2022-02-22,10969.524977418612
2022-02-23,10799.614610832714
2022-02-24,11019.716149312255
2022-02-25,11167.422248688457
2022-02-28,11138.284124036789
2022-03-01,11007.779362779227
2022-03-02,11148.983365755088
2022-03-03,11064.689946229735
2022-03-04,10978.308499061292
2022-03-07,10658.372840401167
2022-03-08,10654.072900436406
2022-03-09,10927.628249286718
2022-03-10,10792.603243424324
2022-03-11,10628.673357445545
2022-03-14,10456.842836934438
2022-03-15,10690.355480912369
2022-03-16,11041.183948369824
2022-03-17,11157.603079279805
2022-03-18,11343.193431869997
2022-03-21,11269.026144252124
2022-03-22,11369.92591986853
2022-03-23,11189.09421252679
2022-03-24,11413.922288065178
2022-03-25,11396.811516745222
2022-03-28,11491.913554279852
2022-03-29,11677.185556932169
2022-03-30,11521.725708674861
2022-03-31,11411.483600443198
2022-04-01,11402.090645812028
2022-04-04,11549.62994722009
2022-04-05,11271.017792320297
2022-04-06,11139.44511042413
2022-04-07,11188.138810357133
2022-04-08,11071.232612970558
2022-04-11,10867.276794582262
2022-04-12,10810.914033262998
2022-04-13,10951.533236530255
2022-04-14,10760.360658311876
2022-04-18,10787.012196859132
2022-04-19,10952.446335415081
2022-04-20,10903.099632093496
2022-04-21,10703.577527729441
2022-04-22,10460.373369623354
2022-04-25,10546.663552503698
2022-04-26,10261.468364758526
2022-04-27,10210.553903398035
2022-04-28,10505.951795779618
2022-04-29,10157.227262203778
2022-05-02,10249.712546777657
2022-05-03,10307.47446336024
2022-05-04,10578.227868847842
2022-05-05,10136.70319069895
2022-05-06,10042.863347881443
2022-05-09,9708.727331108657
2022-05-10,9820.324190872392
2022-05-11,9614.240532929265
2022-05-12,9660.092426084353
2022-05-13,9959.621564842631
2022-05-16,9897.25949538621
2022-05-17,10151.671972331287
2022-05-18,9761.932577090007
